,gross_value_of_secondary_industry,gross_value_of_the_tertiary_industry
0,2231.93,2503.54
1,2431.38,2748.28
2,2654.47,3060.87
3,3249.43,3431.93
4,3947.01,4134.92
5,4451.11,4824.17
6,5056.43,5567.8
7,5674.34,6891.94
8,6207.97,7956.03
9,6143.59,9028.17
10,7376.81,9942.25
11,8128.44,11280.46
12,8063.93,12361.79
13,8147.16,13985.61
14,8434.97,15501.64
15,8259.03,17274.62
16,8406.28,19662.89
17,9330.67,21191.54
18,9738.6,22843.23
19,1020.6,24494.92
20,1040.6,2092.9
21,1147.6,2541.6
22,1259.4,3054.2
23,1497.9,3522.1
24,1867.7,4211.9
25,2045.6,5008.9
26,2217.8,6007.7
27,2534.1,7438.4
28,2641.8,8638.8
29,2856.9,9445.4
30,3387.9,10930.9
31,3753.2,12740.2
32,4060.0,14141.7
33,4392.8,15777.4
34,4663.4,17121.5
35,4660.6,18884.7
36,4944.4,20594.9
37,5326.8,22567.8
38,5647.7,24553.6
39,5715.1,29542.5
40,874.0,774.1
41,1055.7,880.9
42,1234.7,1003.1
43,1723.7,1155.3
44,2108.1,1300.5
45,2633.4,2307.7
46,3049.5,2757.1
47,3404.8,3389.9
48,3815.8,3984.1
49,3827.1,4367.6
50,4523.4,5051.7
51,5343.3,6155.7
52,5737.6,7206.1
53,6296.9,8198.1
54,6812.0,9184.2
55,7207.9,10288.3
56,7780.5,11705.0
57,9318.1,13152.4
58,9962.0,14237.9
59,10495.8,16406.1
60,1032.0,1249.5
61,1125.1,1463.4
62,1227.1,1671.3
63,1508.1,1883.1
64,1817.7,2182.6
65,2045.2,2978.8
66,2430.0,3498.7
67,2806.8,4152.5
68,3199.0,4849.1
69,3405.2,5560.8
70,4002.3,6557.5
71,4577.0,7641.9
72,4720.7,8616.8
73,5227.4,9963.9
74,5591.0,10897.2
75,5726.1,12147.5
76,5751.6,13556.6
77,6011.0,15271.7
78,6234.1,16401.8
79,6454.0,16923.2
80,760.0,746.1
81,842.0,840.0
82,958.9,956.1
83,1135.3,1081.4
84,1386.8,1233.1
85,1577.7,1445.2
86,1888.2,1655.1
87,2202.4,2019.2
88,2613.3,2641.2
89,2973.3,2996.8
90,3574.1,3724.3
91,4518.9,4723.9
92,5244.2,5319.8
93,5900.1,5991.5
94,6637.2,6694.9
95,7195.0,7527.1
96,7898.9,8538.4
97,8584.6,9564.0
98,8328.8,10656.1
99,9496.8,12557.5
100,863.8,764.4
101,959.1,881.3
102,1069.1,997.5
103,1337.3,1150.8
104,1708.0,1328.1
105,2165.8,1669.7
106,2497.9,1917.7
107,2941.8,2268.7
108,3776.9,2912.0
109,4064.0,3434.7
110,4937.5,4274.6
111,6058.9,5261.7
112,6828.0,6111.2
113,7460.1,7045.0
114,7933.5,7872.2
115,7918.1,8714.3
116,7571.4,10098.1
117,7593.6,10786.6
118,7609.8,11027.1
119,4969.2,8949.9
120,533.3,592.2
121,582.4,668.0
122,635.5,741.9
123,701.9,825.2
124,825.8,954.2
125,1026.3,1125.3
126,1205.4,1358.0
127,1440.0,1640.3
128,1867.2,2103.6
129,2142.1,2329.7
130,2532.8,2863.1
131,3254.0,3309.5
132,3859.6,3843.1
133,4396.17,4319.7
134,4785.7,4933.8
135,4981.5,5564.3
136,5227.1,6294.9
137,5861.4,7140.8
138,6377.8,8107.5
139,5988.9,9855.3
140,491.9,524.1
141,544.7,611.9
142,610.7,708.8
143,802.2,819.0
144,1014.8,997.0
145,1213.6,1162.7
146,1377.2,1369.0
147,1628.7,1637.3
148,1797.7,1942.5
149,1960.6,2197.5
150,2363.4,2692.5
151,2807.1,3258.8
152,3229.7,3891.8
153,3527.3,4476.9
154,3696.3,5045.5
155,3983.1,5646.1
156,4191.3,6218.5
157,4454.9,6997.2
158,4721.6,7825.4
159,5040.9,8699.5
160,709.3,569.3
161,793.6,663.0
162,901.8,765.4
163,1075.8,897.4
164,1318.2,1092.7
165,1494.4,1301.3
166,1728.4,1560.2
167,2045.9,1894.7
168,2372.6,2236.6
169,2365.8,2555.1
170,2819.8,2937.5
171,3280.5,3520.0
172,3500.1,4078.4
173,3574.3,4562.7
174,3845.6,5086.2
175,3909.0,5853.2
176,4120.9,6888.6
177,4362.5,7929.8
178,4571.9,8631.7
179,4875.0,10172.0
180,422.1,618.3
181,490.3,713.3
182,558.6,804.7
183,652.5,915.8
184,805.6,1057.2
185,984.2,1214.7
186,1171.0,1406.1
187,1444.1,1685.6
188,1735.0,1947.1
189,2001.8,2233.0
190,2480.9,2785.3
191,3143.8,3479.4
192,3765.6,4025.2
193,4181.5,4574.2
194,4508.5,5191.0
195,4723.5,5704.5
196,5202.0,6493.3
197,5998.2,7390.3
198,6516.2,8304.0
199,5244.6,11155.9
200,505.8,385.4
201,566.3,433.5
202,625.7,478.0
203,764.6,539.9
204,957.8,616.4
205,1439.4,868.0
206,1842.3,1010.2
207,2327.7,1195.2
208,2842.8,1395.3
209,3037.7,1687.4
210,3542.5,2003.6
211,3871.0,2220.4
212,4113.3,2369.2
213,4340.4,2530.8
214,4602.2,2705.7
215,4839.5,3028.0
216,5146.0,3338.7
217,5424.7,3840.2
218,5614.0,4177.4
219,6044.6,4549.5
220,555.2,495.2
221,643.4,580.8
222,758.3,678.0
223,923.8,796.8
224,1149.9,956.7
225,1392.0,1117.1
226,1667.0,1332.3
227,1934.5,1612.1
228,2234.8,1943.3
229,2420.1,2203.5
230,2823.4,2648.6
231,3236.9,3182.5
232,3496.5,3603.5
233,3745.1,4061.7
234,4015.0,4485.9
235,4168.1,4940.3
236,4309.7,5515.8
237,4546.2,6109.1
238,4850.6,6764.0
239,4182.8,7148.6
240,870.1,579.6
241,999.9,669.0
242,1211.5,777.1
243,1771.9,954.0
244,2235.1,1052.2
245,2712.0,1379.4
246,3193.0,1660.2
247,3687.5,2121.5
248,4331.7,2710.6
249,4642.9,3079.1
250,5372.7,3852.9
251,6103.8,4621.1
252,6672.7,5358.5
253,6955.1,6042.9
254,7096.7,6693.8
255,7270.3,7275.3
256,7462.6,8064.2
257,8235.9,8861.7
258,8933.3,9450.2
259,9130.2,9908.9
260,269.1,192.5
261,315.3,232.1
262,369.7,272.8
263,512.3,407.6
264,640.6,487.0
265,1236.2,925.8
266,1527.3,1087.5
267,1791.0,1349.0
268,1954.2,1736.1
269,1823.1,1926.0
270,2160.8,2069.1
271,2366.2,2351.3
272,2375.6,2615.8
273,2518.9,2951.1
274,2794.4,3066.6
275,2922.1,3332.0
276,3173.2,3630.3
277,3663.2,3896.0
278,4027.2,4226.3
279,5361.5,4092.5
280,277.1,324.4
281,312.9,376.1
282,353.6,425.3
283,407.4,488.6
284,476.9,565.3
285,540.5,707.4
286,645.7,822.9
287,781.9,992.2
288,981.6,1233.1
289,1144.8,1469.8
290,1357.5,1745.3
291,1583.2,2113.5
292,1781.1,2417.8
293,1998.8,2725.7
294,2194.8,3083.3
295,2126.3,3454.7
296,2200.4,3850.3
297,2596.5,4594.3
298,2925.6,5165.4
299,3167.4,5874.6
300,281.5,365.2
301,318.3,421.9
302,364.3,486.8
303,450.3,552.5
304,549.2,655.2
305,794.5,889.4
306,989.4,1032.1
307,1223.4,1248.3
308,1694.5,1467.5
309,1920.2,1688.3
310,2468.8,1927.5
311,3191.9,2248.4
312,3644.6,2562.9
313,4015.3,2939.2
314,4321.9,3300.9
315,4336.1,3952.7
316,4513.3,4472.7
317,4740.3,5157.8
318,4660.2,6024.5
319,4439.3,6775.2
320,414.7,433.4
321,438.1,521.5
322,501.6,588.4
323,588.7,658.7
324,721.9,757.8
325,847.5,864.5
326,997.1,1019.3
327,1128.8,1221.1
328,1313.1,1518.7
329,1433.5,1720.3
330,1637.5,2057.9
331,1829.0,2339.5
332,1938.1,2612.6
333,2053.2,2892.2
334,2261.7,3218.6
335,2307.0,3487.8
336,2368.9,3849.9
337,2569.2,4315.3
338,2829.3,4754.8
339,3265.2,5835.1
340,635.8,414.5
341,690.8,489.4
342,793.0,556.7
343,954.0,685.5
344,1167.4,821.5
345,1341.9,973.2
346,1580.7,1154.4
347,1894.1,1373.5
348,2190.8,1588.9
349,2356.7,1794.1
350,2856.7,2105.1
351,3315.8,2504.0
352,3475.1,2857.6
353,3681.0,3211.5
354,3980.4,3354.2
355,4098.2,3620.7
356,4455.3,3929.1
357,5119.5,4416.8
358,5507.5,4932.0
359,5783.0,5880.0
360,336.7,218.8
361,380.8,245.0
362,431.5,280.3
363,520.3,334.0
364,672.4,386.8
365,812.6,450.3
366,972.2,565.6
367,1157.2,705.4
368,1350.3,866.7
369,1468.4,1000.8
370,1728.0,1264.1
371,2006.3,1521.7
372,2167.8,1745.7
373,2347.7,2049.5
374,2494.5,2358.4
375,2611.0,2613.7
376,2750.0,2973.2
377,3098.6,3362.7
378,3263.3,3630.7
379,3529.2,3714.7
380,690.3,440.0
381,758.1,518.5
382,876.0,603.9
383,1105.0,677.2
384,1399.1,831.0
385,1729.1,1058.3
386,2016.5,1273.6
387,2324.5,1537.9
388,2640.0,1803.0
389,2884.5,2050.2
390,3236.0,2440.2
391,3729.9,2950.6
392,4003.2,3310.7
393,4187.7,3601.7
394,4242.6,3978.3
395,4359.5,4188.7
396,4465.9,4786.6
397,4964.4,5412.2
398,5464.0,5849.5
399,5627.9,6101.9
